id,issue_type,status,priority,assignee,timestamps
JIRA-0014,Story,Done,Low,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-12-26T01:09:17Z', 'resolved_at': '2025-12-31T02:09:17Z'}]"
JIRA-0015,Bug,Done,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-09-09T21:04:05Z', 'resolved_at': '2025-09-11T11:04:05Z'}]"
JIRA-0016,Story,Done,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-02-21T09:50:42Z', 'resolved_at': '2025-02-23T00:50:42Z'}]"
JIRA-0017,Bug,Done,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2026-01-23T18:20:42Z', 'resolved_at': '2026-01-26T08:20:42Z'}]"
JIRA-0018,Task,Open,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-07-24T01:51:30Z', 'resolved_at': None}]"
JIRA-0019,Task,Done,Low,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-06-20T08:26:06Z', 'resolved_at': '2025-06-22T19:26:06Z'}]"
JIRA-0020,Story,Resolved,High,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-03-27T04:00:28Z', 'resolved_at': '2025-03-27T12:00:28Z'}]"
JIRA-0021,Task,Done,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-10-26T20:34:57Z', 'resolved_at': '2025-10-29T08:34:57Z'}]"
JIRA-0022,Task,Done,Low,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-01-09T22:01:18Z', 'resolved_at': '2025-01-12T03:01:18Z'}]"
JIRA-0023,Task,Done,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-08-16T23:14:20Z', 'resolved_at': '2025-08-22T14:14:20Z'}]"
JIRA-0024,Story,Resolved,High,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-07-24T13:55:39Z', 'resolved_at': '2025-07-25T09:55:39Z'}]"
JIRA-0025,Story,Resolved,High,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-08-20T19:24:50Z', 'resolved_at': '2025-08-22T01:24:50Z'}]"
JIRA-0026,Story,Open,High,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-05-06T11:29:32Z', 'resolved_at': None}]"
JIRA-0027,Task,Done,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2026-01-15T12:16:14Z', 'resolved_at': '2026-01-15T16:16:14Z'}]"
JIRA-0028,Bug,Done,Medium,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-07-07T02:10:18Z', 'resolved_at': '2025-07-10T14:10:18Z'}]"
JIRA-0029,Bug,Done,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-02-23T18:12:53Z', 'resolved_at': '2025-03-02T10:12:53Z'}]"
JIRA-0030,Story,Done,Low,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-05-09T06:11:22Z', 'resolved_at': '2025-05-13T01:11:22Z'}]"
JIRA-0031,Story,Resolved,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-06-06T05:43:39Z', 'resolved_at': '2025-06-08T08:43:39Z'}]"
JIRA-0032,Bug,Done,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-12-17T16:18:42Z', 'resolved_at': '2025-12-19T22:18:42Z'}]"
JIRA-0033,Bug,Done,High,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-06-28T17:38:58Z', 'resolved_at': '2025-06-29T15:38:58Z'}]"
JIRA-0034,Bug,Resolved,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-02-15T17:29:11Z', 'resolved_at': '2025-02-16T04:29:11Z'}]"
JIRA-0035,Story,Open,Medium,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-07-04T20:43:40Z', 'resolved_at': None}]"
JIRA-0036,Task,Done,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-04-13T18:28:17Z', 'resolved_at': '2025-04-17T07:28:17Z'}]"
JIRA-0037,Bug,Resolved,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-11-13T04:08:51Z', 'resolved_at': '2025-11-13T14:08:51Z'}]"
JIRA-0038,Story,Done,Low,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-11-26T00:04:40Z', 'resolved_at': '2025-12-01T09:04:40Z'}]"
JIRA-0039,Story,Resolved,High,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-03-18T10:38:31Z', 'resolved_at': '2025-03-18T15:38:31Z'}]"
JIRA-0040,Bug,Resolved,Medium,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-03-26T20:55:20Z', 'resolved_at': '2025-03-28T15:55:20Z'}]"
JIRA-0041,Task,Done,Low,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-11-24T16:26:37Z', 'resolved_at': '2025-11-27T14:26:37Z'}]"
JIRA-0042,Bug,Resolved,High,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-02-28T13:16:34Z', 'resolved_at': '2025-03-01T07:16:34Z'}]"
JIRA-0043,Bug,Resolved,High,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-01-12T11:06:22Z', 'resolved_at': '2025-01-12T17:06:22Z'}]"
JIRA-0044,Bug,Done,Medium,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-06-16T00:32:18Z', 'resolved_at': '2025-06-18T15:32:18Z'}]"
JIRA-0045,Task,Open,Medium,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-10-31T05:59:20Z', 'resolved_at': None}]"
JIRA-0046,Task,Done,Medium,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2026-01-14T00:12:45Z', 'resolved_at': '2026-01-15T07:12:45Z'}]"
JIRA-0047,Bug,Resolved,High,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-02-17T08:19:53Z', 'resolved_at': '2025-02-18T11:19:53Z'}]"
JIRA-0048,Bug,Done,High,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2026-01-26T13:48:37Z', 'resolved_at': '2026-01-27T09:48:37Z'}]"
JIRA-0049,Story,Open,Low,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-05-25T08:01:42Z', 'resolved_at': None}]"
JIRA-0050,Story,Resolved,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-07-02T16:31:06Z', 'resolved_at': '2025-07-03T08:31:06Z'}]"
JIRA-0051,Task,Done,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-01-31T20:50:17Z', 'resolved_at': '2025-02-01T19:50:17Z'}]"
JIRA-0052,Story,Done,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-09-03T17:33:40Z', 'resolved_at': '2025-09-07T11:33:40Z'}]"
JIRA-0053,Story,Done,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-07-26T07:24:48Z', 'resolved_at': '2025-07-31T12:24:48Z'}]"
JIRA-0054,Task,Done,Low,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-09-03T13:58:12Z', 'resolved_at': '2025-09-05T07:58:12Z'}]"
JIRA-0055,Bug,Resolved,Low,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-03-19T15:47:08Z', 'resolved_at': '2025-03-21T09:47:08Z'}]"
JIRA-0056,Task,Done,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-09-29T01:59:46Z', 'resolved_at': '2025-09-30T18:59:46Z'}]"
JIRA-0057,Story,Open,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-08-23T23:19:41Z', 'resolved_at': None}]"
JIRA-0058,Bug,Open,Low,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-08-21T12:49:27Z', 'resolved_at': None}]"
JIRA-0059,Bug,Open,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-03-25T03:17:42Z', 'resolved_at': None}]"
JIRA-0060,Story,Done,Medium,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-06-13T14:25:16Z', 'resolved_at': '2025-06-15T21:25:16Z'}]"
JIRA-0061,Bug,Resolved,Low,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2026-01-28T13:30:27Z', 'resolved_at': '2026-02-03T18:30:27Z'}]"
JIRA-0062,Task,Resolved,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-08-03T21:41:35Z', 'resolved_at': '2025-08-04T02:41:35Z'}]"
JIRA-0063,Story,Resolved,High,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-07-23T11:12:00Z', 'resolved_at': '2025-07-23T20:12:00Z'}]"
JIRA-0064,Story,Done,Low,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-01-08T12:15:22Z', 'resolved_at': '2025-01-10T16:15:22Z'}]"
JIRA-0065,Bug,Done,High,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-10-14T18:41:05Z', 'resolved_at': '2025-10-15T16:41:05Z'}]"
JIRA-0066,Bug,Open,Medium,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-08-28T10:21:07Z', 'resolved_at': None}]"
JIRA-0067,Story,Done,Medium,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-07-13T19:34:17Z', 'resolved_at': '2025-07-14T20:34:17Z'}]"
JIRA-0068,Bug,Resolved,Medium,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-05-01T01:04:58Z', 'resolved_at': '2025-05-02T19:04:58Z'}]"
JIRA-0069,Story,Open,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-09-16T00:23:09Z', 'resolved_at': None}]"
JIRA-0070,Task,Resolved,Low,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-07-27T05:37:08Z', 'resolved_at': '2025-07-29T21:37:08Z'}]"
JIRA-0071,Task,Resolved,High,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-06-22T18:27:54Z', 'resolved_at': '2025-06-23T04:27:54Z'}]"
JIRA-0072,Story,Resolved,Medium,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-06-26T18:41:14Z', 'resolved_at': '2025-06-28T10:41:14Z'}]"
JIRA-0073,Task,Done,High,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-08-05T09:32:14Z', 'resolved_at': '2025-08-05T15:32:14Z'}]"
JIRA-0074,Task,Done,Low,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-09-15T05:04:51Z', 'resolved_at': '2025-09-16T12:04:51Z'}]"
JIRA-0075,Story,Done,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-07-26T04:39:06Z', 'resolved_at': '2025-07-26T09:39:06Z'}]"
JIRA-0076,Story,Done,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-09-01T15:22:08Z', 'resolved_at': '2025-09-04T10:22:08Z'}]"
JIRA-0077,Story,Done,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-05-28T15:19:30Z', 'resolved_at': '2025-05-29T03:19:30Z'}]"
JIRA-0078,Task,Open,Medium,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-06-03T01:00:03Z', 'resolved_at': None}]"
JIRA-0079,Story,Resolved,High,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-09-14T11:22:29Z', 'resolved_at': '2025-09-15T10:22:29Z'}]"
JIRA-0080,Story,Resolved,High,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-08-22T06:24:46Z', 'resolved_at': '2025-08-23T02:24:46Z'}]"
JIRA-0081,Bug,Done,Medium,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-08-18T15:24:44Z', 'resolved_at': '2025-08-22T01:24:44Z'}]"
JIRA-0082,Story,Resolved,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-10-22T11:46:48Z', 'resolved_at': '2025-10-23T21:46:48Z'}]"
JIRA-0083,Bug,Done,Medium,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-01-01T07:34:02Z', 'resolved_at': '2025-01-03T09:34:02Z'}]"
JIRA-0084,Task,Resolved,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-09-08T07:09:39Z', 'resolved_at': '2025-09-11T06:09:39Z'}]"
JIRA-0085,Task,Done,Low,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2026-01-03T12:49:47Z', 'resolved_at': '2026-01-06T07:49:47Z'}]"
JIRA-0086,Story,Resolved,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-09-18T08:21:43Z', 'resolved_at': '2025-09-20T07:21:43Z'}]"
JIRA-0087,Bug,Done,Medium,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-06-04T16:03:03Z', 'resolved_at': '2025-06-05T22:03:03Z'}]"
JIRA-0088,Story,Resolved,High,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-02-26T13:36:59Z', 'resolved_at': '2025-02-27T07:36:59Z'}]"
JIRA-0089,Task,Open,Low,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-10-26T05:52:38Z', 'resolved_at': None}]"
JIRA-0090,Task,Open,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-01-05T07:21:46Z', 'resolved_at': None}]"
JIRA-0091,Story,Open,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-12-27T19:50:15Z', 'resolved_at': None}]"
JIRA-0092,Task,Resolved,High,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-04-05T06:17:17Z', 'resolved_at': '2025-04-06T00:17:17Z'}]"
JIRA-0093,Story,Done,Low,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-09-04T10:51:45Z', 'resolved_at': '2025-09-10T03:51:45Z'}]"
JIRA-0094,Task,Done,Low,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-12-13T08:25:55Z', 'resolved_at': '2025-12-16T00:25:55Z'}]"
JIRA-0095,Story,Resolved,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-08-04T09:27:29Z', 'resolved_at': '2025-08-07T15:27:29Z'}]"
JIRA-0096,Bug,Done,High,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-03-02T04:23:39Z', 'resolved_at': '2025-03-03T06:23:39Z'}]"
JIRA-0097,Bug,Done,Medium,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-03-04T14:04:35Z', 'resolved_at': '2025-03-05T19:04:35Z'}]"
JIRA-0098,Task,Resolved,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-06-16T04:22:14Z', 'resolved_at': '2025-06-17T00:22:14Z'}]"
JIRA-0099,Task,Done,Medium,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-11-19T22:35:36Z', 'resolved_at': '2025-11-20T17:35:36Z'}]"
JIRA-0100,Task,Resolved,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-01-16T04:06:07Z', 'resolved_at': '2025-01-19T17:06:07Z'}]"
JIRA-0101,Task,Resolved,High,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-08-20T22:32:35Z', 'resolved_at': '2025-08-22T02:32:35Z'}]"
JIRA-0102,Task,Resolved,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-06-21T07:08:21Z', 'resolved_at': '2025-06-27T11:08:21Z'}]"
JIRA-0103,Story,Done,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-10-30T00:49:25Z', 'resolved_at': '2025-11-01T07:49:25Z'}]"
JIRA-0104,Bug,Resolved,High,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-04-10T03:09:16Z', 'resolved_at': '2025-04-11T02:09:16Z'}]"
JIRA-0105,Bug,Done,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-01-22T01:13:07Z', 'resolved_at': '2025-01-22T23:13:07Z'}]"
JIRA-0106,Task,Open,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-07-22T01:39:54Z', 'resolved_at': None}]"
JIRA-0107,Task,Done,High,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-09-20T03:27:58Z', 'resolved_at': '2025-09-21T07:27:58Z'}]"
JIRA-0108,Story,Done,Medium,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-03-05T14:50:34Z', 'resolved_at': '2025-03-08T14:50:34Z'}]"
JIRA-0109,Story,Open,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-09-29T19:44:01Z', 'resolved_at': None}]"
JIRA-0110,Bug,Resolved,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-02-01T06:27:57Z', 'resolved_at': '2025-02-02T10:27:57Z'}]"
JIRA-0111,Task,Resolved,High,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-04-29T08:36:46Z', 'resolved_at': '2025-04-29T19:36:46Z'}]"
JIRA-0112,Story,Open,Low,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-06-19T07:09:12Z', 'resolved_at': None}]"
JIRA-0113,Story,Resolved,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-05-11T07:48:58Z', 'resolved_at': '2025-05-15T00:48:58Z'}]"
JIRA-0114,Bug,Open,Low,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-05-08T04:48:57Z', 'resolved_at': None}]"
JIRA-0115,Story,Open,Low,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-08-31T07:18:16Z', 'resolved_at': None}]"
JIRA-0116,Story,Done,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-06-04T01:08:06Z', 'resolved_at': '2025-06-04T22:08:06Z'}]"
JIRA-0117,Bug,Done,Low,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-08-23T05:54:31Z', 'resolved_at': '2025-08-25T11:54:31Z'}]"
JIRA-0118,Story,Done,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-10-15T19:56:30Z', 'resolved_at': '2025-10-16T15:56:30Z'}]"
JIRA-0119,Bug,Open,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-11-23T06:27:44Z', 'resolved_at': None}]"
JIRA-0120,Bug,Resolved,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-12-24T02:09:45Z', 'resolved_at': '2025-12-25T09:09:45Z'}]"
JIRA-0121,Task,Done,Low,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-07-29T18:42:02Z', 'resolved_at': '2025-08-04T21:42:02Z'}]"
JIRA-0122,Task,Done,Low,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-09-08T08:11:34Z', 'resolved_at': '2025-09-11T22:11:34Z'}]"
JIRA-0123,Story,Done,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-12-27T22:47:37Z', 'resolved_at': '2025-12-31T10:47:37Z'}]"
